unitid,sgtype,functcd,"xstaff01",staff01,"xstaff02",staff02,"xstaff03",staff03,"xstaff04",staff04,"xstaff05",staff05,"xstaff06",staff06,"xstaff07",staff07,"xstaff08",staff08,"xstaff09",staff09,"xstaff10",staff10,"xstaff11",staff11,"xstaff12",staff12,"xstaff13",staff13,"xstaff14",staff14,"xstaff15",staff15,"xstaff16",staff16,"xstaff17",staff17,"xstaff18",staff18,"xstaff19",staff19,"xstaff20",staff20,"xstaff21",staff21,"xstaff22",staff22,"xstaff23",staff23,"xstaff24",staff24
100654,1,13,"Z",0,"Z",0,"R",34,"R",22,"Z",0,"Z",0,"R",2,"R",2,"R",1,"Z",0,"R",11,"R",13,"Z",0,"Z",0,"R",48,"R",37,"Z",0,"R",56,"Z",0,"R",4,"R",1,"R",24,"Z",0,"R",85
100654,2,11,"Z",0,"Z",0,"R",3,"R",5,"Z",0,"Z",0,"R",1,"R",1,"R",1,"Z",0,"R",7,"R",5,"Z",0,"Z",0,"R",12,"R",11,"Z",0,"R",8,"Z",0,"R",2,"R",1,"R",12,"Z",0,"R",23
100654,5,3,"Z",0,"Z",0,"R",3,"R",5,"Z",0,"Z",0,"R",1,"R",1,"R",1,"Z",0,"R",7,"R",5,"Z",0,"Z",0,"R",12,"R",11,"Z",0,"R",8,"Z",0,"R",2,"R",1,"R",12,"Z",0,"R",23
100654,6,12,"Z",0,"Z",0,"R",31,"R",17,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",4,"R",8,"Z",0,"Z",0,"R",36,"R",26,"Z",0,"R",48,"Z",0,"R",2,"Z",0,"R",12,"Z",0,"R",62
100654,7,99,"Z",0,"Z",0,"R",5,"R",4,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",3,"R",6,"Z",0,"Z",0,"R",9,"R",11,"Z",0,"R",9,"Z",0,"R",2,"Z",0,"R",9,"Z",0,"R",20
100654,9,6,"Z",0,"Z",0,"R",5,"R",4,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",3,"R",6,"Z",0,"Z",0,"R",9,"R",11,"Z",0,"R",9,"Z",0,"R",2,"Z",0,"R",9,"Z",0,"R",20
100654,10,99,"Z",0,"Z",0,"R",26,"R",13,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"R",27,"R",15,"Z",0,"R",39,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",42
100654,11,7,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",2
100654,12,8,"Z",0,"Z",0,"Z",0,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",7,"Z",0,"R",5,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",7
100654,14,10,"Z",0,"Z",0,"R",26,"R",7,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",26,"R",7,"Z",0,"R",33,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",33
100706,1,13,"R",7,"R",2,"R",10,"R",5,"R",1,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"R",25,"R",19,"Z",0,"Z",0,"R",44,"R",28,"R",9,"R",15,"R",1,"R",3,"Z",0,"R",44,"Z",0,"R",72
100706,2,11,"R",6,"Z",0,"R",2,"R",2,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",4,"R",5,"Z",0,"Z",0,"R",13,"R",8,"R",6,"R",4,"Z",0,"R",2,"Z",0,"R",9,"Z",0,"R",21
100706,3,1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",1,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",2
100706,4,2,"R",1,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",2,"Z",0,"Z",0,"R",4,"R",4,"R",1,"R",2,"Z",0,"Z",0,"Z",0,"R",5,"Z",0,"R",8
100706,5,3,"R",4,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",1,"R",3,"Z",0,"Z",0,"R",7,"R",4,"R",4,"R",2,"Z",0,"R",1,"Z",0,"R",4,"Z",0,"R",11
100706,6,12,"R",1,"R",2,"R",8,"R",3,"R",1,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",21,"R",14,"Z",0,"Z",0,"R",31,"R",20,"R",3,"R",11,"R",1,"R",1,"Z",0,"R",35,"Z",0,"R",51
100706,7,99,"R",1,"R",2,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",14,"R",4,"Z",0,"Z",0,"R",16,"R",6,"R",3,"R",1,"Z",0,"Z",0,"Z",0,"R",18,"Z",0,"R",22
100706,8,4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1
100706,9,6,"R",1,"R",2,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",14,"R",3,"Z",0,"Z",0,"R",16,"R",5,"R",3,"R",1,"Z",0,"Z",0,"Z",0,"R",17,"Z",0,"R",21
100706,10,99,"Z",0,"Z",0,"R",7,"R",3,"R",1,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",7,"R",10,"Z",0,"Z",0,"R",15,"R",14,"Z",0,"R",10,"R",1,"R",1,"Z",0,"R",17,"Z",0,"R",29
100706,11,7,"Z",0,"Z",0,"Z",0,"R",2,"R",1,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",4,"R",6,"Z",0,"Z",0,"R",5,"R",9,"Z",0,"R",2,"R",1,"R",1,"Z",0,"R",10,"Z",0,"R",14
100706,12,8,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"R",2,"R",3,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",5
100706,13,9,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1
100706,14,10,"Z",0,"Z",0,"R",6,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"R",7,"R",2,"Z",0,"R",6,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",9
100724,1,13,"Z",0,"Z",0,"R",15,"R",19,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",3,"R",2,"R",1,"Z",0,"R",20,"R",21,"Z",0,"R",34,"Z",0,"R",1,"Z",0,"R",5,"R",1,"R",41
100724,2,11,"Z",0,"Z",0,"R",4,"R",7,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",2,"R",1,"R",1,"Z",0,"R",8,"R",8,"Z",0,"R",11,"Z",0,"R",1,"Z",0,"R",3,"R",1,"R",16
100724,3,1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1
100724,4,2,"Z",0,"Z",0,"R",2,"R",4,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"R",5,"R",4,"Z",0,"R",6,"Z",0,"R",1,"Z",0,"R",1,"R",1,"R",9
100724,5,3,"Z",0,"Z",0,"R",2,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",2,"R",4,"Z",0,"R",5,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",6
100724,6,12,"Z",0,"Z",0,"R",11,"R",12,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",12,"R",13,"Z",0,"R",23,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",25
100724,7,99,"Z",0,"Z",0,"R",2,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",3,"R",3,"Z",0,"R",4,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",6
100724,9,6,"Z",0,"Z",0,"R",2,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",3,"R",3,"Z",0,"R",4,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",6
100724,10,99,"Z",0,"Z",0,"R",9,"R",10,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",9,"R",10,"Z",0,"R",19,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",19
100724,11,7,"Z",0,"Z",0,"R",1,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",4,"Z",0,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",5
100724,12,8,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1
100724,14,10,"Z",0,"Z",0,"R",8,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",8,"R",5,"Z",0,"R",13,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",13
100751,1,13,"R",9,"R",1,"R",15,"R",17,"R",0,"R",0,"R",3,"R",4,"R",3,"R",1,"R",69,"R",88,"R",0,"R",0,"R",99,"R",111,"R",10,"R",32,"Z",0,"R",7,"R",4,"R",157,"Z",0,"R",210
100751,2,11,"R",4,"R",1,"R",4,"R",2,"R",0,"R",0,"R",1,"R",2,"R",1,"R",0,"R",33,"R",30,"R",0,"R",0,"R",43,"R",35,"R",5,"R",6,"Z",0,"R",3,"R",1,"R",63,"Z",0,"R",78
100751,3,1,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",5,"R",2,"R",0,"R",0,"R",6,"R",3,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"R",7,"Z",0,"R",9
100751,4,2,"R",1,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",14,"R",14,"R",0,"R",0,"R",17,"R",15,"R",1,"R",2,"Z",0,"Z",0,"R",1,"R",28,"Z",0,"R",32
100751,5,3,"R",3,"R",0,"R",2,"R",1,"R",0,"R",0,"R",1,"R",2,"R",0,"R",0,"R",14,"R",14,"R",0,"R",0,"R",20,"R",17,"R",3,"R",3,"Z",0,"R",3,"Z",0,"R",28,"Z",0,"R",37
100751,6,12,"R",5,"R",0,"R",11,"R",15,"R",0,"R",0,"R",2,"R",2,"R",2,"R",1,"R",36,"R",58,"R",0,"R",0,"R",56,"R",76,"R",5,"R",26,"Z",0,"R",4,"R",3,"R",94,"Z",0,"R",132
100751,7,99,"R",5,"Z",0,"R",3,"R",2,"Z",0,"Z",0,"R",2,"R",2,"R",1,"R",1,"R",20,"R",29,"Z",0,"Z",0,"R",31,"R",34,"R",5,"R",5,"Z",0,"R",4,"R",2,"R",49,"Z",0,"R",65
100751,8,4,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1
100751,9,6,"R",5,"R",0,"R",3,"R",2,"R",0,"R",0,"R",2,"R",2,"R",1,"R",1,"R",20,"R",28,"R",0,"R",0,"R",31,"R",33,"R",5,"R",5,"Z",0,"R",4,"R",2,"R",48,"Z",0,"R",64
100751,10,99,"Z",0,"Z",0,"R",8,"R",13,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",16,"R",29,"Z",0,"Z",0,"R",25,"R",42,"Z",0,"R",21,"Z",0,"Z",0,"R",1,"R",45,"Z",0,"R",67
100751,11,7,"R",0,"R",0,"R",2,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",6,"R",4,"R",0,"R",0,"R",8,"R",6,"Z",0,"R",4,"Z",0,"Z",0,"Z",0,"R",10,"Z",0,"R",14
100751,12,8,"R",0,"R",0,"R",1,"R",5,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",24,"R",0,"R",0,"R",3,"R",29,"Z",0,"R",6,"Z",0,"Z",0,"Z",0,"R",26,"Z",0,"R",32
100751,13,9,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",6,"R",0,"R",0,"R",0,"R",6,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",6,"Z",0,"R",6
100751,14,10,"R",0,"R",0,"R",5,"R",6,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",2,"R",1,"R",0,"R",0,"R",8,"R",7,"Z",0,"R",11,"Z",0,"Z",0,"R",1,"R",3,"Z",0,"R",15
100760,1,13,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",5,"Z",0,"Z",0,"R",1,"R",6,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",6,"Z",0,"R",7
100760,2,11,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",5,"Z",0,"Z",0,"R",1,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",6,"Z",0,"R",6
100760,4,2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",5,"Z",0,"Z",0,"R",1,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",6,"Z",0,"R",6
100760,6,12,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1
100760,10,99,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1
100760,12,8,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1
100812,1,13,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",2
100812,6,12,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",2
100812,10,99,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",2
100812,14,10,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",2
100858,1,13,"R",14,"R",3,"R",17,"R",9,"Z",0,"Z",0,"R",8,"R",2,"R",3,"R",3,"R",71,"R",86,"Z",0,"Z",0,"R",113,"R",103,"R",17,"R",26,"Z",0,"R",10,"R",6,"R",157,"Z",0,"R",216
100858,2,11,"R",6,"R",3,"R",3,"R",2,"Z",0,"Z",0,"R",5,"R",1,"R",1,"R",2,"R",23,"R",31,"Z",0,"Z",0,"R",38,"R",39,"R",9,"R",5,"Z",0,"R",6,"R",3,"R",54,"Z",0,"R",77
100858,4,2,"R",5,"R",2,"R",3,"R",1,"Z",0,"Z",0,"R",5,"Z",0,"R",1,"R",2,"R",7,"R",16,"Z",0,"Z",0,"R",21,"R",21,"R",7,"R",4,"Z",0,"R",5,"R",3,"R",23,"Z",0,"R",42
100858,5,3,"R",1,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",16,"R",15,"Z",0,"Z",0,"R",17,"R",18,"R",2,"R",1,"Z",0,"R",1,"Z",0,"R",31,"Z",0,"R",35
100858,6,12,"R",8,"Z",0,"R",14,"R",7,"Z",0,"Z",0,"R",3,"R",1,"R",2,"R",1,"R",48,"R",55,"Z",0,"Z",0,"R",75,"R",64,"R",8,"R",21,"Z",0,"R",4,"R",3,"R",103,"Z",0,"R",139
100858,7,99,"R",8,"Z",0,"R",4,"R",1,"Z",0,"Z",0,"R",2,"Z",0,"R",1,"Z",0,"R",28,"R",35,"Z",0,"Z",0,"R",43,"R",36,"R",8,"R",5,"Z",0,"R",2,"R",1,"R",63,"Z",0,"R",79
100858,8,4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",1,"Z",0,"Z",0,"R",4,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"Z",0,"R",5
100858,9,6,"R",8,"Z",0,"R",4,"R",1,"Z",0,"Z",0,"R",2,"Z",0,"R",1,"Z",0,"R",24,"R",34,"Z",0,"Z",0,"R",39,"R",35,"R",8,"R",5,"Z",0,"R",2,"R",1,"R",58,"Z",0,"R",74
100858,10,99,"Z",0,"Z",0,"R",10,"R",6,"Z",0,"Z",0,"R",1,"R",1,"R",1,"R",1,"R",20,"R",20,"Z",0,"Z",0,"R",32,"R",28,"Z",0,"R",16,"Z",0,"R",2,"R",2,"R",40,"Z",0,"R",60
100858,11,7,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",5,"R",9,"Z",0,"Z",0,"R",7,"R",10,"Z",0,"R",2,"Z",0,"Z",0,"R",1,"R",14,"Z",0,"R",17
100858,12,8,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"R",1,"R",10,"Z",0,"Z",0,"R",1,"R",15,"Z",0,"R",3,"Z",0,"R",1,"R",1,"R",11,"Z",0,"R",16
100858,13,9,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",6,"Z",0,"Z",0,"Z",0,"R",6,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",6,"Z",0,"R",6
100858,14,10,"Z",0,"Z",0,"R",9,"R",2,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",8,"R",1,"Z",0,"Z",0,"R",18,"R",3,"Z",0,"R",11,"Z",0,"R",1,"Z",0,"R",9,"Z",0,"R",21
100919,1,13,"Z",0,"Z",0,"R",1,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",1,"Z",0,"Z",0,"R",3,"R",4,"Z",0,"R",4,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",7
100919,2,11,"Z",0,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",4
100919,4,2,"Z",0,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",4
100919,6,12,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",1,"R",2,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",3
100919,7,99,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1
100919,9,6,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1
100919,10,99,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",2
100919,12,8,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1
100919,14,10,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1
101028,1,13,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",0,"R",0,"R",1,"R",2,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",3
101028,6,12,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",0,"R",0,"R",1,"R",2,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",3
101028,10,99,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"R",1,"R",2,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",3
101028,12,8,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",0,"R",0,"R",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",2
101028,14,10,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1
101107,1,13,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",3
101107,6,12,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",3
101107,7,99,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",3
101107,9,6,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",3
101143,1,13,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",1,"Z",0,"Z",0,"R",3,"R",5,"Z",0,"R",3,"R",1,"Z",0,"Z",0,"R",4,"Z",0,"R",8
101143,2,11,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",1,"Z",0,"Z",0,"R",3,"R",4,"Z",0,"R",2,"R",1,"Z",0,"Z",0,"R",4,"Z",0,"R",7
101143,4,2,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",1,"Z",0,"Z",0,"R",3,"R",4,"Z",0,"R",2,"R",1,"Z",0,"Z",0,"R",4,"Z",0,"R",7
101143,6,12,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1
101143,10,99,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1
101143,12,8,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1
101161,1,13,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",6,"Z",0,"Z",0,"R",2,"R",7,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",8,"Z",0,"R",9
